期別/國道,期末家數（家）/國道,期末路線數（條）/國道,期末營業里程（公里）/國道,行車次數（班次）/國道,行駛里程（車公里）/國道,客運人數（人次）/國道,電子票證客運人數（人）/國道,延人公里（人公里）/國道,客運收入（元）/國道,電子票證客運收入（元）/國道,客座公里（座公里）/國道,平均每一旅客運距（公里）/國道
100年 1月,38,200,26698.1,412866,45516305,6355933,-,567456367,815660172,-,-,89.28
100年 2月,38,200,26702.4,375273,43341501,6090545,-,583653855,856023443,-,-,95.83
100年 3月,38,199,26650.7,414713,45678499,6762993,-,586908921,853619615,-,-,86.78
100年 4月,38,199,26637.8,405860,45489233,7042443,-,643069230,915329139,-,-,91.31
100年 5月,38,199,26650.4,405881,43969436,7081748,-,652431675,903365241,-,-,92.13
100年 6月,38,199,26649.7,389339,41567644,6925279,-,655145544,883727852,-,-,94.6
100年 7月,37,196,26218.8,404881,43926941,7453192,-,733592848,981835551,-,-,98.43
100年 8月,37,196,26217.5,401290,43151580,7423042,-,712505964,955389139,-,-,95.99
100年 9月,37,195,25811.4,388870,41821906,7260945,-,687134347,933294415,-,-,94.63
100年 10月,37,195,25810.5,401767,42884099,7363630,-,697756711,939234667,-,-,94.76
100年 11月,37,196,25873.2,390124,40966861,6890732,-,628927573,843204997,-,-,91.27
100年 12月,38,196,25793.6,411821,43182782,7219696,-,666533633,909011946,-,-,92.32
101年 1月,38,195,25619.6,405675,44101696,6844012,-,676441160,957680518,-,1270534217,98.84
101年 2月,38,192,25276.7,382067,39877589,6821410,-,646221109,887541894,-,1156034053,94.73
101年 3月,35,189,25081.1,402582,41257284,7226044,-,653521027,902831174,-,1200756720,90.44
101年 4月,35,189,25056.8,395837,41273097,7314363,-,677580516,933499511,-,1197989657,92.64
101年 5月,34,188,24898.4,405423,41673984,7313975,-,662243827,910668496,-,1212520420,90.54
101年 6月,34,188,24890.1,393168,40628228,6905114,-,627592384,870824070,-,1179523327,90.89
101年 7月,34,188,24882.6,407817,42722168,7559120,-,712732217,963355235,-,1235606642,94.29
101年 8月,34,187,24881.2,397031,40936442,7328582,-,686047211,931535813,-,1190442091,93.61
101年 9月,34,187,24640.5,393404,40897720,7303376,-,678525946,936529594,-,1190436377,92.91
101年 10月,34,187,24641.61,405481,41491448,7436523,-,662402143,918644875,-,1200711749,89.07
101年 11月,33,186,24406.16,392465,39855355,7042621,-,630459896,871787715,-,1157692075,89.52
101年 12月,33,186,24403.56,405116,41621514,7247185,-,654806963,925629363,-,1208948429,90.35
102年 1月,30,183,24247.26,396480,40719145,6997657,-,627396082,854906024,-,1189130863,89.66
102年 2月,30,183,24247.6,349068,37367471,6450991,-,626464347,876854246,-,1083549190,97.11
102年 3月,30,183,24202.15,394154,40489754,7440731,-,663685131,935730358,-,1184164869,89.2
102年 4月,30,183,24212.9,380985,39221479,7063744,-,632831859,883875414,-,1148086358,89.59
102年 5月,30,183,24212.91,394740,40860521,7308455,-,651720659,906816204,-,1195851760,89.17
102年 6月,30,182,24201.5,378893,39708134,7206329,-,652292969,909061921,-,1160795230,90.52
102年 7月,30,184,24331.45,390705,40228373,7424939,-,671538701,919300250,-,1177841987,90.44
102年 8月,30,184,24322.35,396113,41078974,7557298,-,698070909,964850832,-,1200945245,92.37
102年 9月,30,184,24322.45,387786,40469012,7293282,-,663542000,932251610,-,1183861921,90.98
102年 10月,30,184,24321.51,398824,41075165,7521511,-,650674166,919661693,-,1200220051,86.51
102年 11月,30,186,24483.91,392931,40722405,7377162,-,653555953,909560206,-,1190241533,88.59
102年 12月,30,186,24506.55,409123,42466981,7578216,-,671446158,945204362,-,1241691618,88.6
103年 1月,30,182,24474.55,403861,42953994,7234877,-,651490037,935385672,-,1250121448,90.05
103年 2月,30,185,24449.95,360573,38440494,6822856,-,639075836,896015902,-,1122319548,93.67
103年 3月,30,185,24450.15,398295,41456267,7557222,-,680383234,949957552,-,1216064427,90.03
103年 4月,30,184,24274.1,386546,40151544,7344650,-,656498799,904880852,-,1179938075,89.38
103年 5月,30,185,24328.1,404485,42408934,7487357,-,677237215,953935754,-,1245004134,90.45
103年 6月,30,185,24254,387494,40553852,7262000,-,652935471,892268819,-,1192305952,89.91
103年 7月,30,186,24335.65,402295,41923217,7544183,-,691000361,967037168,-,1225319397,91.59
103年 8月,30,186,24350.15,413398,43079088,7973224,-,724365952,1045448903,-,1257596809,90.85
103年 9月,30,186,24372.46,394625,40789321,7359753,-,639577081,930393848,-,1194618334,86.9
103年 10月,30,186,24371.52,413861,42535878,7673503,-,652505862,943588032,-,1246457640,85.03
103年 11月,30,187,24391.87,403076,41092990,7416862,-,629940732,919939455,-,1203239695,84.93
103年 12月,30,187,24391.87,418334,41970989,7567948,-,622327262,924199040,-,1230565201,82.23
104年 1月,30,183,24155.97,405360,41789638,7177591,-,618568989,902702848,-,1220703355,86.18
104年 2月,30,183,24155.93,362310,38690775,6643929,-,609535120,895586545,-,1123510539,91.74
104年 3月,30,183,24162.18,399114,40672051,7311132,-,613919818,910145050,-,1189465643,83.97
104年 4月,30,183,24162.18,388227,39853880,7070951,-,615838490,896710557,-,1166027375,87.09
104年 5月,30,183,24162.18,402659,41281937,7352370,-,631291962,941151363,-,1208135201,85.86
104年 6月,30,182,23769.38,388287,39593927,7060002,-,596395381,893106686,-,1160364733,84.48
104年 7月,30,182,23765.76,399160,40697100,7305246,-,628888805,936445071,-,1197218583,86.09
104年 8月,30,184,23822.91,400208,40644619,7320340,-,635199643,941717095,-,1195197410,86.77
104年 9月,30,184,23820.71,387364,39477607,7137676,-,602734743,906892629,-,1163281908,84.44
104年 10月,30,184,23820.71,409930,41317842,7520245,-,621806658,922457528,-,1219472460,82.68
104年 11月,30,183,23736.51,395692,40008017,7419619,-,610960367,902155876,-,1180353219,82.34
104年 12月,30,183,23735.86,412159,41319771,7570591,-,610342413,919355734,-,1224019838,80.62
105年 1月,30,183,23732.76,409420,41160138,7189657,-,590045293,896109924,-,1218568488,82.07
105年 2月,30,183,23733.56,372654,38825692,6827176,-,600873498,893553598,-,1142622119,88.01
105年 3月,30,184,23758.66,405784,40165437,7324589,-,576594147,864222441,-,1190488366,78.72
105年 4月,30,184,23762.16,400788,40135651,7377515,-,615753008,896348140,-,1189481506,83.46
105年 5月,30,183,23582.81,413485,40840351,7680158,-,631720883,918305874,-,1211928769,82.25
105年 6月,30,183,23576.86,399242,39478498,7205543,-,596739467,857824518,-,1171355448,82.82
105年 7月,30,183,23579.46,406977,40427416,7606169,-,639399774,926047340,-,1200232380,84.06
105年 8月,30,183,23569.59,414686,40648104,7808498,-,638084089,938138829,-,1208926282,81.72
105年 9月,30,181,23569.46,383520,38133741,7039338,-,573004390,838960748,-,1132614602,81.4
105年 10月,30,181,23569.16,414689,41031498,7588609,-,621050566,916446452,-,1219866955,81.84
105年 11月,30,181,23568.96,397225,38743865,7363858,-,575085248,848348021,-,1153725480,78.1
